City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
528,Xicotencatl,MX,79.2,clear sky,23.0167,-98.8833,Misioneros Vázquez Mireles
531,Namatanai,PG,81.72,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
533,Gryazi,RU,75.49,broken clouds,52.4966,39.9359,Гостиница Ника
534,Yen Bai,VN,87.67,broken clouds,21.7,104.8667,AK MOTEL
535,Savannakhet,LA,89.62,broken clouds,16.566,104.751,โรงแรม ริเวอร์ ฟร้อนท์ (Riverfront Hotel)
539,Georgetown,MY,89.53,scattered clouds,5.4112,100.3354,Cititel Penang
540,Bayburt,TR,81.05,clear sky,40.2589,40.2278,Bayburt Otel Konaklama
542,Tursunzoda,TJ,89.94,overcast clouds,38.5144,68.2333,Osoishgokhi Tabobati
543,Tashigang,BT,75.43,overcast clouds,27.3331,91.5542,Lingkhar Lodge
544,Linqu,CN,88.56,few clouds,36.5156,118.5397,Jiaohua Hotel
545,Rezina,MD,78.04,overcast clouds,47.7492,28.9622,B&B Hotel Habitat
546,Shenjiamen,CN,84.88,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
548,Khasan,RU,75.25,light rain,42.4308,130.6434,Fangchuan Self-Driving Camp
550,Gat,IL,88.39,clear sky,31.61,34.7642,OlusHome
551,Redmond,US,75.09,clear sky,47.674,-122.1215,Seattle Marriott Redmond
552,Alihe,CN,80.71,broken clouds,50.5667,123.7167,Alihe Forestry Hotel
558,Potam,MX,84.72,broken clouds,27.6,-110.3833,Ejido La Pimienta
564,Mount Isa,AU,82.17,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
567,Champerico,GT,77.76,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
572,Yanam,IN,88.09,overcast clouds,16.7333,82.2167,The Regency Hotel
583,Hirara,JP,80.87,light intensity shower rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
586,Labuan,MY,88.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
587,Lundazi,ZM,75.58,clear sky,-12.2929,33.1782,Knox Lodge
590,Kokopo,PG,82.67,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
599,Jiazi,CN,88.27,overcast clouds,22.8779,116.067,Hotel Jin Hao
601,Baruun-Urt,MN,86.09,overcast clouds,46.6806,113.2792,Ахмадын амралт сувилал
602,Manggar,ID,82.9,overcast clouds,-2.8833,108.2667,Guest Hotel
604,Portobelo,PA,79.11,overcast clouds,9.55,-79.65,Scuba Portobelo
606,Ixtapa,MX,76.23,overcast clouds,20.7,-105.2,hotel la terminal
608,Port-Gentil,GA,76.96,scattered clouds,-0.7193,8.7815,Fengshui Residence
609,Jining,CN,89.37,overcast clouds,35.405,116.5814,Yunhe Star Hotel
612,Laguna,US,75.18,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
613,Baracoa,CU,80.92,overcast clouds,20.3467,-74.4958,Hostal Rio Miel
614,Urumqi,CN,85.15,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
616,Snyder,US,84.09,clear sky,32.7179,-100.9176,"Holiday Inn Express & Suites Snyder, an IHG Hotel"
617,Mulege,MX,85.93,broken clouds,26.8833,-111.9833,Casa Granada
621,Pemangkat,ID,84.88,broken clouds,1.1667,108.9667,Hotel Duyung Permai 2
622,Huanren,CN,86.58,overcast clouds,41.2647,125.3667,Dynasty Wunvshan Ice Chateau
623,Nisia Floresta,BR,75.58,few clouds,-6.0911,-35.2086,Rancho Crepusculo
625,Tulun,RU,82.69,few clouds,54.5611,100.5792,Квартира
626,Leninsk-Kuznetskiy,RU,77.2,light rain,54.6567,86.1737,Victoria
634,Gizo,SB,83.48,light rain,-8.103,156.8419,Imagination Island
635,Itoman,JP,84.97,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
638,Tazmalt,DZ,84.72,clear sky,36.3868,4.3989,Hôtel Numédia
639,Teacapan,MX,78.69,overcast clouds,22.55,-105.75,Hotel los Mangos
640,Texas City,US,83.98,few clouds,29.3838,-94.9027,Crystal Suites
642,Port Moresby,PG,83.62,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
644,Khatassy,RU,82.38,light rain,61.9036,129.6383,"Ulitsa Skhpk,, Khatasskiy,, Dom 20076K"
645,Jeremie,HT,80.91,few clouds,18.65,-74.1167,Auberge’Inn
646,Meulaboh,ID,85.23,overcast clouds,4.1363,96.1285,Kost Pria
647,Carsamba,TR,88.29,broken clouds,41.1989,36.7219,Carsamba Ogretmenevi
649,Kathmandu,NP,77.22,broken clouds,27.7167,85.3167,Hotel Shanker Kathmandu
651,Nanakuli,US,80.55,light rain,21.3906,-158.1547,Camp Pālehua
655,Morondava,MG,82.02,clear sky,-20.2833,44.2833,La Case Bambou
662,Honiara,SB,79.03,clear sky,-9.4333,159.95,Heritage Park Hotel
663,Bol,TD,79.34,moderate rain,13.4586,14.7147,Harrouni camp de passage
665,New Braunfels,US,81.16,clear sky,29.703,-98.1245,Courtyard by Marriott New Braunfels River Village
668,Banda Aceh,ID,83.16,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
669,Angoche,MZ,78.4,few clouds,-16.2325,39.9086,Guest House HESADA
670,Les Cayes,HT,79.83,scattered clouds,18.2,-73.75,Villa Orphee
676,Gorontalo,ID,80.15,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
678,Verkhnevilyuysk,RU,80.13,overcast clouds,63.4453,120.3167,Gostinitsa Mila
680,Pecos,US,85.03,clear sky,31.4229,-103.4932,Knights Inn & Suites Pecos Northeast
682,Owando,CG,82.02,scattered clouds,-0.4819,15.8999,Exaunel Hotel Owando
683,Erenhot,CN,82.81,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
684,Sola,VU,80.19,clear sky,-13.8833,167.55,Leumerus Bungalows
688,Shimoda,JP,88.16,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
689,Toyo,PH,84.47,overcast clouds,10.7333,125.0167,Florina Country Lodge
